graph_name,nodes,edges,density,is_connected,num_components,avg_clustering,algorithm,actual_time,simulated_time,num_nodes,cores_per_node,memory_per_node_gb,total_cores,total_memory_gb,num_iterations,converged,algorithm_category,scaling_reason,algorithm_type,node_cost,meets_deadline_20s,meets_deadline_60s,meets_deadline_30s,meets_deadline_45s,execution_category
web-Google,875713,4322051,1.1271891119695635e-05,False,2746,0.6465672626064578,PageRank,16.962385892868042,436.6679515015919,1,4,8,4,8,100,True,iterative,algorithmic_optimization,PageRank,1,False,False,False,False,very_slow
web-Google,875713,4322051,1.1271891119695635e-05,False,2746,0.6465672626064578,PageRank,12.817214965820312,230.15262097747137,2,4,8,8,16,100,True,iterative,algorithmic_optimization,PageRank,2,False,False,False,False,very_slow
web-Google,875713,4322051,1.1271891119695635e-05,False,2746,0.6465672626064578,PageRank,14.052886009216309,181.96545482075186,3,4,8,12,24,100,True,iterative,algorithmic_optimization,PageRank,3,False,False,False,False,very_slow
web-Google,875713,4322051,1.1271891119695635e-05,False,2746,0.6465672626064578,PageRank,16.21939778327942,168.23661544185532,4,4,8,16,32,100,True,iterative,algorithmic_optimization,PageRank,4,False,False,False,False,very_slow
web-Google,875713,4322051,1.1271891119695635e-05,False,2746,0.6465672626064578,PageRank,14.026490211486816,149.35917282826887,6,4,8,24,48,100,True,iterative,algorithmic_optimization,PageRank,6,False,False,False,False,very_slow
web-Google,875713,4322051,1.1271891119695635e-05,False,2746,0.6465672626064578,PageRank,15.394558906555176,136.0147989387862,8,4,8,32,64,100,True,iterative,algorithmic_optimization,PageRank,8,False,False,False,False,very_slow
web-Google,875713,4322051,1.1271891119695635e-05,False,2746,0.6465672626064578,PageRank,13.00619888305664,155.62984009622625,2,8,8,16,16,100,True,iterative,algorithmic_optimization,PageRank,2,False,False,False,False,very_slow
web-Stanford,281903,1992636,5.014875010127824e-05,False,365,0.6394800844255706,PageRank,8.68053388595581,161.32822230597677,1,4,8,4,8,100,True,iterative,algorithmic_optimization,PageRank,1,False,False,False,False,very_slow
web-Stanford,281903,1992636,5.014875010127824e-05,False,365,0.6394800844255706,PageRank,6.575061798095703,122.53431738441863,2,4,8,8,16,100,True,iterative,algorithmic_optimization,PageRank,2,False,False,False,False,very_slow
web-Stanford,281903,1992636,5.014875010127824e-05,False,365,0.6394800844255706,PageRank,5.790952205657959,121.57286574739143,3,4,8,12,24,100,True,iterative,no_adjustment,PageRank,3,False,False,False,False,very_slow
web-Stanford,281903,1992636,5.014875010127824e-05,False,365,0.6394800844255706,PageRank,5.25761079788208,91.01132620013328,4,4,8,16,32,100,True,iterative,no_adjustment,PageRank,4,False,False,False,False,very_slow
web-Stanford,281903,1992636,5.014875010127824e-05,False,365,0.6394800844255706,PageRank,6.692327976226807,86.5452386126863,6,4,8,24,48,100,True,iterative,no_adjustment,PageRank,6,False,False,False,False,very_slow
web-Stanford,281903,1992636,5.014875010127824e-05,False,365,0.6394800844255706,PageRank,6.3431620597839355,86.82696941043477,8,4,8,32,64,100,True,iterative,no_adjustment,PageRank,8,False,False,False,False,very_slow
web-Stanford,281903,1992636,5.014875010127824e-05,False,365,0.6394800844255706,PageRank,5.325736999511719,109.05480485505247,2,8,8,16,16,100,True,iterative,no_adjustment,PageRank,2,False,False,False,False,very_slow
soc-Slashdot0902,82168,582533,0.00017256407249715723,True,1,0.24670534451934814,PageRank,2.6664319038391113,71.80242604145438,1,4,8,4,8,100,True,iterative,no_adjustment,PageRank,1,False,False,False,False,very_slow
soc-Slashdot0902,82168,582533,0.00017256407249715723,True,1,0.24670534451934814,PageRank,1.7288172245025635,50.25852136095526,2,4,8,8,16,100,True,iterative,no_adjustment,PageRank,2,False,True,False,False,slow
soc-Slashdot0902,82168,582533,0.00017256407249715723,True,1,0.24670534451934814,PageRank,1.6913402080535889,31.81265197385583,3,4,8,12,24,100,True,iterative,no_adjustment,PageRank,3,False,True,False,True,slow
soc-Slashdot0902,82168,582533,0.00017256407249715723,True,1,0.24670534451934814,PageRank,1.696443796157837,26.649003797392584,4,4,8,16,32,100,True,iterative,no_adjustment,PageRank,4,False,True,True,True,medium
soc-Slashdot0902,82168,582533,0.00017256407249715723,True,1,0.24670534451934814,PageRank,1.5392699241638184,23.37045696829083,6,4,8,24,48,100,True,iterative,no_adjustment,PageRank,6,False,True,True,True,medium
soc-Slashdot0902,82168,582533,0.00017256407249715723,True,1,0.24670534451934814,PageRank,1.9517507553100586,23.04558631344192,8,4,8,32,64,100,True,iterative,no_adjustment,PageRank,8,False,True,True,True,medium
