graph_name,algorithm_type,deadline_constraint,actual_runtime,actual_nodes,ml_nodes,ml_predicted_time,ml_cost,yarn_nodes,yarn_estimated_time,yarn_cost,spark_nodes,spark_estimated_time,spark_cost,linear_nodes,linear_estimated_time,linear_cost,fixed_nodes,fixed_estimated_time,fixed_cost,optimal_nodes,optimal_estimated_time,optimal_cost
web-Google,PageRank,60.0,436.6679515015919,1,8,60.0,8,2,327.95845072508877,2,7,157.71889895184293,7,8,152.49900709533603,8,4,204.34437803523545,4,1,582.6494766758444,1
web-Stanford,PageRank,60.0,86.82696941043477,8,8,60.0,8,2,144.67223240457378,2,5,78.92907134101628,5,8,61.92352169006931,8,4,80.19776156389284,4,1,248.40696528827195,1
soc-Epinions1,PageRank,60.0,19.623507319621048,4,1,49.98799514770508,1,2,24.56037793579764,2,3,17.672537013237225,3,6,12.973079287473727,6,4,14.933438313513525,4,1,45.911239471318055,1
cit-HepTh,PageRank,60.0,21.34769704795938,2,1,47.77915954589844,1,2,19.005286275230798,2,2,20.490021823056,2,5,12.238571176610982,5,4,11.695293988371823,4,1,36.36944100215552,1
ca-AstroPh,PageRank,60.0,8.22017627373803,2,2,16.215164184570312,2,2,10.432950172290152,2,3,8.331740454555723,3,2,10.568990171585723,2,4,6.262249257038591,4,1,18.174180573969483,1
web-Google,ConnectedComponents,60.0,142.4385711823745,2,8,60.0,8,2,342.5862451067682,2,6,467.557442713337,6,8,753.0965805786929,8,4,366.7428796984663,4,1,460.476748661809,1
email-EuAll,ConnectedComponents,60.0,22.42674633537866,3,1,21.945999145507812,1,2,24.781576083200797,2,1,36.908641047465096,1,5,30.309494635482096,5,4,25.93104520726057,4,1,34.578536849335116,1
soc-Epinions1,ConnectedComponents,60.0,21.85596574537722,1,1,28.954431533813477,1,2,25.794858439777876,2,2,25.352970545543613,2,6,35.16275586589988,6,4,27.305443786325405,4,1,39.16710417492485,1
p2p-Gnutella31,ConnectedComponents,60.0,28.617280705852213,3,1,34.867061614990234,1,2,9.437234699702147,2,1,12.510965175549119,1,1,13.604718770847265,1,4,9.183750333619296,4,1,13.576918479459904,1
ca-AstroPh,TriangleCounting,60.0,142.79587335212858,4,8,60.0,8,4,49.90884216209267,4,4,49.87987121818788,4,4,51.92246069997392,4,4,51.24640201313267,4,4,53.22135659768189,4
ca-HepPh,TriangleCounting,60.0,152.13175855975294,1,8,60.0,8,4,28.62137903121925,4,4,27.516422660791104,4,3,31.227858047235298,3,4,31.034635225463408,4,2,32.92418009248663,2
ca-GrQc,TriangleCounting,60.0,34.149286227001724,4,1,47.04537582397461,1,4,3.214962524251929,4,4,3.147731302176215,4,1,6.851519368225406,1,4,3.362521180841502,4,1,7.387374431138084,1
